Climb,location,rating,rating_dif,star_votes,stars,sub_location,type
105789298,Oregon,23.0,0.0,97,4.6,Central Oregon,Sport
105753814,Colorado,13.0,0.0,113,3.1,Boulder,Trad
105749578,Colorado,24.0,0.0,49,3.8,Boulder,Sport
107543321,New Hampshire,16.0,0.0,50,3.2,Rumney,Sport
105757699,Colorado,21.0,0.0,85,3.6,Rifle,Sport
105761268,Colorado,21.0,0.0,135,3.3,Boulder,Sport
106018730,New York,16.0,0.0,113,4.1,The Gunks,Trad
105826602,Nevada,21.0,0.0,151,3.9,Red Rock,Sport
105717787,Utah,17.5,0.0,109,4.6,Zion National Park,Trad
105733007,Nevada,14.5,0.0,84,3.7,Red Rock,Trad
105829283,New York,16.0,0.0,81,3.6,The Gunks,Trad
105890675,New York,19.0,0.0,91,4.3,The Gunks,Trad
105722086,California,20.0,0.0,111,4.6,Joshua Tree National Park,Trad
105909672,New Hampshire,17.5,0.0,158,4.6,Cathedral Ledge,Trad
105717343,Utah,26.0,1.0,168,4.7,Moab Area,Trad
105861212,Utah,21.0,-1.5,49,3.6,Moab Area,Trad
106101992,New York,13.0,0.0,85,3.7,The Gunks,Trad
106106417,Colorado,17.5,0.0,87,2.6,Boulder,Sport
106107243,Colorado,19.5,1.5,118,3.0,Boulder,Sport
106254868,New Hampshire,17.5,0.5,88,3.7,Rumney,Sport
105717403,Utah,20.0,0.0,87,4.1,Moab Area,Trad
105748145,Colorado,16.0,0.0,62,3.8,Boulder,Trad
105755278,Colorado,17.5,0.0,115,2.9,Boulder,Sport
105985117,New York,14.5,0.0,84,4.4,Adirondacks,Trad
105723643,California,15.5,0.0,64,3.4,Joshua Tree National Park,Trad
106149020,Kentucky,18.0,0.0,167,4.4,Red River Gorge,Sport
105717505,Utah,22.5,0.0,114,4.0,Moab Area,Trad
105749938,Colorado,14.5,0.0,106,2.9,Boulder,Trad
105874232,New Hampshire,26.0,0.0,59,4.4,Rumney,Sport
106819561,New York,14.5,0.0,53,4.3,Adirondacks,Trad
105795283,Utah,20.0,0.0,64,4.1,Moab Area,Trad
105748093,Colorado,14.5,-0.5,305,4.2,Boulder,Trad
105949670,Nevada,22.5,0.0,91,3.9,Red Rock,Sport
